Year,Company,Region,Crop,Season,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Hectare,Rainfall_mm,Temperature_C,Fertilizer_Cost,Pesticide_Cost,Irrigation_Cost,Labor_Cost,Storage_Transport_Cost,Total_Cost,Cost_Per_Hectare,Selling_Price_Per_Tonne,Revenue,Profit,Profit_Margin
2018,Bindisa Agriculture Private Limited,Madhya Pradesh,Wheat,Rabi,222,730.38,3.29,1085,36.6,1752024.0,785436.0,680652.0,2627148.0,715772.4,6561032.4,29554.2,24264.83,17722546.54,11161514.14,62.98
2018,Bindisa Agriculture Private Limited,Madhya Pradesh,Rice,Kharif,492,2322.24,4.72,749,22.5,4024560.0,1313148.0,2455572.0,5958612.0,2468541.12,16220433.12,32968.36,26788.01,62208188.34,45987755.22,73.93
2018,Bindisa Agriculture Private Limited,Madhya Pradesh,Soybean,Kharif,311,544.25,1.75,1093,23.2,1499331.0,1306200.0,1711744.0,2168914.0,385329.0,7071518.0,22738.0,41914.72,22812086.36,15740568.36,69.0
2018,Bindisa Agriculture Private Limited,Madhya Pradesh,Maize,Kharif,595,2171.75,3.65,837,26.4,4482730.0,1464890.0,2676905.0,4621365.0,2506199.5,15752089.5,26474.1,20244.82,43966687.84,28214598.34,64.17
2018,Bindisa Agriculture Private Limited,Madhya Pradesh,Cotton,Kharif,938,1407.0,1.5,784,23.0,6786430.0,2345000.0,4655294.0,8030218.0,1253637.0,23070579.0,24595.5,61677.08,86779651.56,63709072.56,73.41
2018,Bindisa Agriculture Private Limited,Madhya Pradesh,Mustard,Rabi,465,706.8,1.52,702,24.0,3628395.0,1570770.0,2397540.0,3382875.0,483451.2,11463031.2,24651.68,56612.57,40013764.48,28550733.28,71.35
2018,Bindisa Agriculture Private Limited,Madhya Pradesh,Sugarcane,Annual,681,49134.15,72.15,1009,33.2,5048253.0,2062749.0,4387683.0,5448000.0,66429370.8,83376055.8,122431.8,3614.5,177595385.18,94219329.38,53.05
2018,Bindisa Agriculture Private Limited,Madhya Pradesh,Groundnut,Kharif,675,1626.75,2.41,811,26.9,3790125.0,1589625.0,4318650.0,5248125.0,2197739.25,17144264.25,25398.91,54968.07,89419307.87,72275043.62,80.83
2018,Bindisa Agriculture Private Limited,Maharashtra,Wheat,Rabi,839,3356.0,4.0,937,29.4,5926696.0,2234257.0,2499381.0,5866288.0,2315640.0,18842262.0,22458.0,23404.32,78544897.92,59702635.92,76.01
2018,Bindisa Agriculture Private Limited,Maharashtra,Rice,Kharif,932,4175.36,4.48,664,20.3,5547264.0,3659964.0,4934940.0,7451340.0,2972856.32,24566364.32,26358.76,30503.24,127362008.17,102795643.85,80.71
2018,Bindisa Agriculture Private Limited,Maharashtra,Soybean,Kharif,712,1516.56,2.13,991,32.8,4696352.0,2974736.0,4057688.0,4770400.0,1034293.92,17533469.92,24625.66,38807.28,58853568.56,41320098.64,70.21
2018,Bindisa Agriculture Private Limited,Maharashtra,Maize,Kharif,526,1756.84,3.34,1173,25.7,3521570.0,1825220.0,2782540.0,5438840.0,1148973.36,14717143.36,27979.36,22736.58,39944533.21,25227389.85,63.16
